Creation Time: 2023_7_10-22-11-3
22-11-3 | [INFO] TraderPlusCore - Started !
22-29-8 | [INFO] InsuranceRequestHandler
22-29-14 | [INFO] GetSafeStatut
22-29-34 | [INFO] InsuranceRequestHandler
22-29-34 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_197257182.json
22-31-9 | [INFO] InsuranceRequestHandler
22-31-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_197257182.json
22-31-50 | [INFO] InsuranceRequestHandler
22-31-50 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_197257182.json
22-32-6 | [INFO] TraderID: 4 - Customer: STRETCH - Category: Holler Ammo - ClassName: AmmoBox_22_50Rnd - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 100 - CollateralMoney: 0 - TradeMode:Buy
22-32-6 | [INFO] Player:STRETCH - currency amount:100
22-32-6 | [INFO] Transaction Buy Succeeded:STRETCH product:AmmoBox_22_50Rnd quantity:0 health:0 price:100
22-33-1 | [INFO] GetSafeStatut
22-34-54 | [INFO] GetSafeStatut
22-35-43 | [INFO] GetSafeStatut
22-36-2 | [INFO] GetSafeStatut
22-36-9 | [INFO] GetSafeStatut
22-41-44 | [INFO] GetSafeStatut
22-48-22 | [INFO] GetSafeStatut
22-48-43 | [INFO] InsuranceRequestHandler
22-48-43 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-48-47 | [INFO] TraderID: 0 - Customer: Cowboy - Category: Holler Fish - ClassName: geb_Northernpike - Quantity: 1000 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 540 - CollateralMoney: 0 - TradeMode:Sell
22-48-47 | [INFO] Transaction Sell Succeeded:Cowboy product:geb_Northernpike quantity:1000 health:0 price:540
22-48-50 | [INFO] TraderID: 0 - Customer: Cowboy - Category: Holler Fish - ClassName: geb_Whitebass - Quantity: 1000 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 240 - CollateralMoney: 0 - TradeMode:Sell
22-48-50 | [INFO] Transaction Sell Succeeded:Cowboy product:geb_Whitebass quantity:1000 health:0 price:240
22-48-53 | [INFO] TraderID: 0 - Customer: Cowboy - Category: Holler Fish - ClassName: geb_Bowfin - Quantity: 1000 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 240 - CollateralMoney: 0 - TradeMode:Sell
22-48-53 | [INFO] Transaction Sell Succeeded:Cowboy product:geb_Bowfin quantity:1000 health:0 price:240
22-48-55 | [INFO] TraderID: 0 - Customer: Cowboy - Category: Holler Fish - ClassName: geb_Whitebass - Quantity: 1000 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 240 - CollateralMoney: 0 - TradeMode:Sell
22-48-55 | [INFO] Transaction Sell Succeeded:Cowboy product:geb_Whitebass quantity:1000 health:0 price:240
22-48-58 | [INFO] TraderID: 0 - Customer: Cowboy - Category: Holler Fish - ClassName: geb_Perch - Quantity: 1000 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 168 - CollateralMoney: 0 - TradeMode:Sell
